time,x0,x1,x2,x3,xstar0,xstar1,xstar2,xstar3,xdot0,xdot1,xdot2,xdot3,dx0,dx1,dx2,dx3,u0,u1,u2,ustar0,ustar1,ustar2,du0,du1,du2,z0,z1,z2,solve_time,command_v0,command_v1,gurobiSolveTime_
0.00000,0.55000,-0.35000,0.00000,4.71239,0.50000,-0.30000,-0.46365,4.71239,0.00000,0.00000,0.00000,0.00000,0.55000,-0.35000,0.00000,4.71239,0.00000,0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
0.00200,0.55000,-0.35000,0.00000,4.71239,0.50005,-0.29990,-0.46365,4.71239,0.00000,0.00000,0.00000,0.00000,0.05000,-0.05000,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
0.00400,0.55000,-0.34998,-0.00000,4.71239,0.50010,-0.29980,-0.46365,4.71239,0.00000,0.01059,-0.00000,0.00000,0.04995,-0.05008,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.00600,0.55000,-0.34994,-0.00000,4.71239,0.50015,-0.29970,-0.46365,4.71239,0.00000,0.01914,-0.00000,0.00000,0.04990,-0.05014,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.00800,0.55000,-0.34989,-0.00000,4.71239,0.50020,-0.29961,-0.46365,4.71239,0.00000,0.02605,-0.00000,0.00000,0.04985,-0.05018,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.01000,0.55000,-0.34983,-0.00000,4.71239,0.50025,-0.29951,-0.46365,4.71239,0.00000,0.03163,-0.00000,0.00000,0.04980,-0.05022,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.01200,0.55000,-0.34975,-0.00000,4.71239,0.50030,-0.29941,-0.46365,4.71239,0.00000,0.03614,-0.00000,0.00000,0.04975,-0.05024,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.01400,0.55000,-0.34967,-0.00000,4.71239,0.50034,-0.29931,-0.46365,4.71239,0.00000,0.03979,-0.00000,0.00000,0.04970,-0.05026,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.01600,0.55000,-0.34959,-0.00000,4.71239,0.50039,-0.29921,-0.46365,4.71239,0.00000,0.04273,-0.00000,0.00000,0.04966,-0.05028,0.46365,0.00000,21.17194,-0.00000,0.00000,21.17194,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05511,0.00000,
0.01800,0.55000,-0.34950,-0.00000,4.71239,0.50044,-0.29911,-0.46365,4.71239,0.00000,0.04511,-0.00000,0.00000,0.04961,-0.05028,0.46365,0.00000,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,0.00000,0.05511,0.01204,
0.02000,0.55000,-0.34939,-0.00004,4.70839,0.50049,-0.29902,-0.46365,4.71239,-0.00150,0.05203,-0.02160,-2.00000,0.04955,-0.05028,0.46360,-0.00400,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.16988,0.08120,0.01204,
0.02200,0.54999,-0.34928,-0.00013,4.70439,0.50054,-0.29892,-0.46365,4.71239,-0.00272,0.05782,-0.04114,-2.00000,0.04950,-0.05026,0.46352,-0.00800,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.17036,0.08126,0.01204,
0.02400,0.54998,-0.34915,-0.00024,4.70039,0.50059,-0.29882,-0.46365,4.71239,-0.00376,0.06363,-0.05947,-2.00000,0.04944,-0.05023,0.46340,-0.01200,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.17085,0.08134,0.01204,
0.02600,0.54997,-0.34901,-0.00040,4.69639,0.50064,-0.29872,-0.46365,4.71239,-0.00468,0.06945,-0.07712,-2.00000,0.04938,-0.05019,0.46325,-0.01600,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.17133,0.08143,0.01204,
0.02800,0.54996,-0.34886,-0.00059,4.69239,0.50069,-0.29862,-0.46365,4.71239,-0.00551,0.07528,-0.09443,-2.00000,0.04932,-0.05014,0.46306,-0.02000,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.17182,0.08152,0.01204,
0.03000,0.54995,-0.34870,-0.00081,4.68839,0.50074,-0.29852,-0.46365,4.71239,-0.00629,0.08112,-0.11162,-2.00000,0.04926,-0.05008,0.46284,-0.02400,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.17231,0.08163,0.01204,
0.03200,0.54994,-0.34853,-0.00107,4.68439,0.50079,-0.29843,-0.46365,4.71239,-0.00702,0.08697,-0.12886,-2.00000,0.04920,-0.05000,0.46258,-0.02800,31.17194,3.00000,-2.00000,21.17194,-0.00000,0.00000,10.00000,3.00000,-2.00000,0.00000,1.00000,0.00000,0.01434,-0.17280,0.08175,0.01204,
